;volume;subj_response;obj_response
0;-14.0;0;1
1;-14.25;0;1
2;-14.5;0;0
3;-14.75;0;1
4;-15.0;0;1
5;-15.25;0;1
6;-15.5;1;1
7;-14.75;1;1
8;-14.5;1;1
9;-14.25;1;0
10;-14.5;1;1
11;-14.25;1;1
12;-14.0;1;1
13;-13.75;1;0
14;-14.0;1;1
15;-13.75;1;1
16;-13.5;1;0
17;-13.75;1;0
18;-14.0;1;1
19;-13.75;1;0
20;-14.0;1;1
21;-13.75;0;0
22;-14.0;1;1
23;-13.75;1;0
24;-14.0;1;1
25;-13.75;1;1
26;-13.5;1;1
27;-13.25;1;1
28;-13.0;1;1
29;-12.75;1;0
30;-13.0;1;0
31;-13.25;1;1
32;-13.0;1;1
33;-12.75;1;1
34;-12.5;1;1
35;-12.25;1;1
36;-12.0;0;0
37;-12.25;1;1
38;-12.0;1;1
39;-11.75;1;1
40;-11.5;1;0
41;-11.75;1;1
42;-11.5;1;1
43;-11.25;1;0
44;-11.5;1;1
45;-11.25;1;1
46;-11.0;1;1
47;-10.75;0;0
48;-11.0;1;1
49;-10.75;1;1
50;-10.5;1;1
51;-10.25;1;1
52;-10.0;1;1
53;-9.75;1;1
54;-9.5;1;1
55;-9.25;1;1
56;-9.0;1;0
57;-9.25;1;1
58;-9.0;1;0
59;-9.25;1;1
60;-9.0;1;1
61;-8.75;0;0
62;-9.0;1;1
63;-8.75;1;1
64;-8.5;1;1
65;-8.25;0;0
66;-8.5;0;0
67;-8.75;1;0
68;-9.0;1;1
69;-8.75;1;1
70;-8.5;1;1
71;-8.25;0;1
72;-8.5;1;1
73;-8.25;1;1
74;-8.0;1;1
75;-7.75;1;1
76;-7.5;1;1
77;-7.25;1;1
78;-7.0;0;0
79;-7.25;1;1
80;-7.0;1;0
81;-7.25;1;0
82;-7.5;1;1
83;-7.25;0;0
84;-7.5;1;1
85;-7.25;1;1
86;-7.0;1;1
87;-6.75;1;1
88;-6.5;1;1
89;-6.25;1;1
90;-6.0;1;1
91;-5.75;1;1
92;-5.5;1;1
93;-5.25;1;1
94;-5.0;1;1
95;-4.75;1;0
96;-5.0;1;1
97;-4.75;1;0
98;-5.0;1;0
99;-5.25;1;1
100;-5.0;0;1
101;-5.25;1;1
102;-5.0;1;1
103;-4.75;1;1
104;-4.5;0;0
105;-4.75;1;1
106;-4.5;1;1
107;-4.25;1;0
108;-4.5;1;1
109;-4.25;1;1
110;-4.0;1;0
111;-4.25;1;0
112;-4.5;1;1
113;-4.25;1;1
114;-4.0;1;1
115;-3.75;1;1
116;-3.5;0;0
117;-3.75;1;1
118;-3.5;1;0
119;-3.75;0;0
120;-4.0;1;1
121;-3.75;0;1
122;-4.0;1;1
123;-3.75;1;1
124;-3.5;1;1
125;-3.25;1;1
126;-3.0;1;1
127;-2.75;1;1
128;-2.5;1;1
129;-2.25;1;0
130;-2.5;0;0
131;-2.75;1;1
132;-2.5;1;1
133;-2.25;1;1
134;-2.0;1;1
135;-1.75;1;1
136;-1.5;1;1
137;-1.25;1;1
138;-1.0;1;1
139;-0.75;1;1
140;-0.5;1;0
141;-0.75;1;1
142;-0.5;0;0
143;-0.75;1;1
144;-0.5;1;1
145;-0.25;1;1
146;0.0;1;1
147;0.25;1;1
148;0.5;0;1
149;0.25;1;1
150;0.5;1;1
151;0.75;1;1
152;1.0;0;0
153;0.75;1;1
154;1.0;1;0
155;0.75;0;0
156;0.5;0;0
157;0.25;0;0
158;0.0;0;0
159;-0.25;1;1
160;0.0;1;1
161;0.25;1;1
162;0.5;1;1
163;0.75;1;0
164;0.5;1;0
165;0.25;0;1
166;0.0;0;1
167;-0.25;0;1
168;-0.5;0;0
169;-0.75;0;0
170;-1.0;1;1
171;-0.75;1;1
172;-0.5;1;1
173;-0.25;0;1
174;-0.5;1;1
175;-0.25;1;0
176;-0.5;1;1
177;-0.25;1;1
178;0.0;1;0
179;-0.25;1;1
180;0.0;0;0
181;-0.25;1;1
182;0.0;1;1
183;0.25;1;1
184;0.5;0;0
185;0.25;1;0
186;0.0;0;1
187;-0.25;0;1
188;-0.5;1;1
189;-0.25;1;1
190;0.0;0;0
191;-0.25;1;1
192;0.0;0;0
193;-0.25;1;0
194;-0.5;1;1
195;-0.25;1;0
196;-0.5;1;1
197;-0.25;1;1
198;0.0;0;0
199;-0.25;1;0
