;subject;stim;session;block;frame_rate;frame_int;trial_nb;SOA;real_SOA;target;mask;position;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT;trial_duration;trigger
0;S12;A;pre;1;59.90908197718123;[0.01650990000001684, 0.0163731000000098, 0.017131599999970604, 0.016276600000026065];24;4;0.04978130000000647;2.tif;mask.tiff;-0.14;left;['left'];0.5115175999999906;1;2.051;4.419686800000022;66
1;S12;A;pre;1;59.90908197718123;[0.016940200000021832, 0.016404599999987113, 0.016512799999986782, 0.016833400000052734];88;5;0.04975080000002663;blank.tiff;mask.tiff;-0.14;a;['right'];0.6492261000000212;0;0.704;3.1995008999999754;80
2;S12;A;pre;1;59.90908197718123;[0.008052500000019336, 0.016548199999988356, 0.017139799999995375, 0.015987300000006144];92;2;0.049675299999989875;blank.tiff;mask.tiff;-0.14;a;['right'];0.546237700000006;0;0.862;3.278920800000037;32
3;S12;A;pre;1;59.90908197718123;[0.013587499999971442, 0.01749530000000732, 0.01663050000001931, 0.017045100000018465];44;1;0.051170900000045094;7.tif;mask.tiff;-0.14;right;['right'];0.2898245000000088;1;0.901;3.022933300000034;22
4;S12;A;pre;1;59.90908197718123;[0.016741400000000795, 0.016256200000043464, 0.017032400000005055, 0.016478899999981422];71;4;0.04976750000002994;8.tif;mask.tiff;0.14;right;['right'];0.35644170000000486;0;1.055;3.2566415000000006;73
5;S12;A;pre;1;59.90908197718123;[0.016361300000028223, 0.016343399999982466, 0.01699270000000297, 0.016699399999993148];48;2;0.05003549999997858;2.tif;mask.tiff;-0.14;left;['left'];0.47701870000003055;1;1.649;3.959951100000012;34
6;S12;A;pre;1;59.90908197718123;[0.013913199999990411, 0.016614399999980378, 0.016788099999985207, 0.017329399999994166];85;3;0.05073189999995975;blank.tiff;mask.tiff;0.14;a;['right'];0.5681129000000169;0;0.847;3.252199799999971;49
7;S12;A;pre;1;59.90908197718123;[0.01593910000002552, 0.017576599999983955, 0.016185100000029706, 0.016742799999974523];21;3;0.050504499999988184;7.tif;mask.tiff;0.14;right;['right'];0.3482338000000027;1;0.761;2.9481577000000243;55
8;S12;A;pre;1;59.90908197718123;[0.016853500000024724, 0.017107099999975617, 0.016503199999988283, 0.016408899999987625];46;1;0.050019199999951525;8.tif;mask.tiff;-0.14;right;['right'];0.33918689999995877;1;1.111;3.289342799999986;24
9;S12;A;pre;1;59.90908197718123;[0.013966699999969023, 0.017125899999996363, 0.016220700000019406, 0.01684410000001435];89;5;0.05019070000003012;blank.tiff;mask.tiff;0.14;a;['left'];0.394877699999995;0;0.894;3.1280694000000153;81
