;subject;stim;session;block;frame_rate;frame_int;trial_nb;SOA;real_SOA;target;mask;position;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT;trial_duration;trigger
0;S09;A;pre;1;59.9724246790481;[0.016701099999409053, 0.0168550000007599, 0.016982999999527237, 0.016295500000524044];67;4;0.05013350000081118;3.tif;mask.tiff;0.14;left;['right'];0.9613540000000285;1;1.895;4.724546399999781;69
1;S09;A;pre;1;59.9724246790481;[0.01741390000006504, 0.01581389999955718, 0.017222700000274926, 0.01655159999972966];94;3;0.049588199999561766;blank.tiff;mask.tiff;-0.14;a;['right'];1.2356014000006326;0;1.112;4.185392200000024;48
2;S09;A;pre;1;59.9724246790481;[0.017309799999566167, 0.01615769999989425, 0.016663600000356382, 0.016431699999884586];64;4;0.049253000000135216;2.tif;mask.tiff;-0.14;left;['left'];1.323040100000071;1;0.972;4.139191500000379;66
3;S09;A;pre;1;59.9724246790481;[0.016768299999966985, 0.017336099999738508, 0.015764499999932013, 0.016884800000298128];7;1;0.04998539999996865;8.tif;mask.tiff;0.14;right;['right'];0.6740325000000666;1;0.947;3.4567011999997703;25
4;S09;A;pre;1;59.9724246790481;[0.01769590000003518, 0.015560300000288407, 0.016885399999409856, 0.016561100000217266];11;2;0.04900679999991553;3.tif;mask.tiff;0.14;left;['right'];0.41773620000003575;1;1.144;3.4010504999996556;37
5;S09;A;pre;1;59.9724246790481;[0.016239499999755935, 0.016841399999975692, 0.016905299999962153, 0.01641749999998865];66;4;0.050164199999926495;3.tif;mask.tiff;-0.14;left;['right'];0.39345960000082414;1;0.787;3.027082199999313;68
6;S09;A;pre;1;59.9724246790481;[0.009154899999884947, 0.017059700000572775, 0.01659419999941747, 0.016825300000164134];85;3;0.05047920000015438;blank.tiff;mask.tiff;0.14;a;['left'];1.0572060000004058;0;0.992;3.923723599999903;49
7;S09;A;pre;1;59.9724246790481;[0.014705800000228919, 0.016296899999360903, 0.016664900000250782, 0.016763499999797205];39;5;0.04972529999940889;8.tif;mask.tiff;0.14;right;['right'];0.46556799999962095;1;0.857;3.2158104999998613;89
8;S09;A;pre;1;59.9724246790481;[0.007075100000292878, 0.016364600000088103, 0.017097899999498622, 0.01702130000012403];49;2;0.050483799999710754;2.tif;mask.tiff;0.14;left;['left'];0.6010741000000053;1;0.918;3.401086600000781;35
9;S09;A;pre;1;59.9724246790481;[0.006634999999732827, 0.01699559999997291, 0.016668700000082026, 0.016276299999844923];5;1;0.04994059999989986;7.tif;mask.tiff;0.14;right;['right'];0.3993270000000848;1;0.809;3.0824216999999408;23
10;S09;A;pre;1;59.9724246790481;[0.019011999999747786, 0.016051700000389246, 0.017605799999728333, 0.01644280000073195];13;2;0.05010030000084953;7.tif;mask.tiff;0.14;right;['right'];0.38936290000037843;1;0.76;3.0556864000000132;39
11;S09;A;pre;1;59.9724246790481;[0.01732979999997042, 0.01693429999977525, 0.016549900000427442, 0.016708899999684945];4;1;0.050193099999887636;7.tif;mask.tiff;-0.14;right;['right'];0.39738609999949404;1;1.129;3.4145250000001397;22
12;S09;A;pre;1;59.9724246790481;[0.009671499999967637, 0.01662170000054175, 0.016997300000184623, 0.016939999999522115];80;1;0.05055900000024849;blank.tiff;mask.tiff;-0.14;a;['right'];0.3724070999996911;0;0.767;3.022169400000166;16
13;S09;A;pre;1;59.9724246790481;[0.016896999999516993, 0.01728079999975307, 0.016792500000519794, 0.016221199999563396];34;5;0.05029449999983626;3.tif;mask.tiff;-0.14;left;['left'];0.48981929999990825;1;0.832;3.2230236999994304;84
14;S09;A;pre;1;59.9724246790481;[0.0069244999995135, 0.016181900000447058, 0.016829499999403197, 0.017138400000476395];69;4;0.05014980000032665;7.tif;mask.tiff;0.14;right;['right'];0.34776349999992817;1;0.829;3.0476008000005095;71
15;S09;A;pre;1;59.9724246790481;[0.011134600000332284, 0.0166215999997803, 0.01691599999958271, 0.016747000000577827];3;1;0.05028459999994084;3.tif;mask.tiff;0.14;left;['right'];0.2553957999998602;1;0.732;2.855543700000453;21
16;S09;A;pre;1;59.9724246790481;[0.01744849999977305, 0.016866700000718993, 0.01679829999920912, 0.016521900000043388];87;4;0.0501868999999715;blank.tiff;mask.tiff;0.14;a;['left'];0.8722509999997783;0;1.015;3.78905130000021;65
17;S09;A;pre;1;59.9724246790481;[0.006152099999781058, 0.01699700000062876, 0.016834099999869068, 0.016272299999400275];25;4;0.0501033999998981;2.tif;mask.tiff;0.14;left;['right'];0.3481258000001617;1;0.826;3.0480727000003753;67
18;S09;A;pre;1;59.9724246790481;[0.006087900000238733, 0.016866799999661453, 0.016501299999617913, 0.01631859999997687];52;2;0.049686699999256234;7.tif;mask.tiff;-0.14;right;['right'];1.8749238000000332;1;0.802;4.558977900000173;38
19;S09;A;pre;1;59.9724246790481;[0.018398100000013073, 0.016850399999384535, 0.017039600000316568, 0.016604999999799475];47;1;0.05049499999950058;8.tif;mask.tiff;0.14;right;['right'];0.39246600000024046;1;0.756;3.0422223000005033;25
20;S09;A;pre;1;59.9724246790481;[0.017476500000157102, 0.016841999999996915, 0.01666990000012447, 0.01725429999987682];97;4;0.05076619999999821;blank.tiff;mask.tiff;0.14;a;['right'];0.6429794999994556;1;1.066;3.6101591999995435;65
21;S09;A;pre;1;59.9724246790481;[0.010669899999811605, 0.016962400000011257, 0.016206100000090373, 0.016778400000475813];22;3;0.04994690000057744;8.tif;mask.tiff;-0.14;right;['right'];0.45888669999931153;1;1.319;3.6584956999995484;56
22;S09;A;pre;1;59.9724246790481;[0.005225600000812847, 0.01728739999998652, 0.017431299999771, 0.01569850000032602];78;5;0.05041720000008354;8.tif;mask.tiff;-0.14;right;['right'];0.45664940000006027;1;0.772;3.1067396000007648;88
23;S09;A;pre;1;59.9724246790481;[0.012721500000225205, 0.016675699999723292, 0.01661379999950441, 0.017243100000086997];24;4;0.0505325999993147;2.tif;mask.tiff;-0.14;left;['right'];0.29108520000045246;1;0.983;3.1575284000000465;66
24;S09;A;pre;1;59.9724246790481;[0.009706499999992957, 0.015982099999746424, 0.01698190000024624, 0.01644490000035148];73;5;0.04940890000034415;2.tif;mask.tiff;0.14;left;['left'];0.3790126000003511;1;0.928;3.178545199999462;83
25;S09;A;pre;1;59.9724246790481;[0.004218600000058359, 0.016582000000198605, 0.016855199999554316, 0.016828499999974156];62;3;0.050265699999727076;8.tif;mask.tiff;-0.14;right;['right'];0.47294349999992846;1;0.991;3.356283600000097;56
26;S09;A;pre;1;59.9724246790481;[0.012264599999980419, 0.017291999999542895, 0.01632690000042203, 0.01695670000026439];70;4;0.050575600000229315;8.tif;mask.tiff;-0.14;right;['right'];0.5496032999999443;1;0.999;3.432486300000164;72
27;S09;A;pre;1;59.9724246790481;[0.01627490000009857, 0.016638399999465037, 0.016539600000214705, 0.016808899999887217];56;3;0.04998689999956696;2.tif;mask.tiff;-0.14;left;['left'];0.9165280000006533;1;1.561;4.382732799999758;50
28;S09;A;pre;1;59.9724246790481;[0.008078100000602717, 0.01713149999977759, 0.0162663999999495, 0.017159999999421416];50;2;0.0505578999991485;3.tif;mask.tiff;-0.14;left;['right'];0.25468739999996615;1;0.809;2.937638700000207;36
29;S09;A;pre;1;59.9724246790481;[0.01458360000015091, 0.016943199999332137, 0.016789600000265636, 0.016847199999574514];14;2;0.05057999999917229;8.tif;mask.tiff;-0.14;right;['right'];0.4508082000002105;1;0.755;3.117503200000101;40
30;S09;A;pre;1;59.9724246790481;[0.01579649999985122, 0.016584299999522045, 0.016622600000118837, 0.016538300000320305];16;3;0.04974519999996119;2.tif;mask.tiff;-0.14;left;['right'];0.4391341000000466;1;0.78;3.1057683999997607;50
31;S09;A;pre;1;59.9724246790481;[0.018238199999359495, 0.016357800000150746, 0.016940500000600878, 0.016615399999864167];2;1;0.04991370000061579;3.tif;mask.tiff;-0.14;left;['right'];0.4739145000003191;1;0.854;3.224156299999777;20
32;S09;A;pre;1;59.9724246790481;[0.018127299999832758, 0.016849200000251585, 0.01600959999996121, 0.017089399999349553];33;5;0.04994819999956235;2.tif;mask.tiff;0.14;left;['right'];0.4353235999997196;1;0.751;3.0848839000000225;83
33;S09;A;pre;1;59.9724246790481;[0.005008899999666028, 0.016976400000203284, 0.016403600000558072, 0.016700999999557098];0;1;0.050081000000318454;2.tif;mask.tiff;-0.14;left;['left'];0.5152297000004182;1;0.931;3.33221709999998;18
34;S09;A;pre;1;59.9724246790481;[0.01656280000042898, 0.01689489999989746, 0.016524599999684142, 0.016622400000414927];86;4;0.05004189999999653;blank.tiff;mask.tiff;-0.14;a;['left'];0.6623970999999074;1;1.975;4.529466500000126;64
35;S09;A;pre;1;59.9724246790481;[0.0162663999999495, 0.01585030000023835, 0.016652600000270468, 0.01699919999919075];92;2;0.04950209999969957;blank.tiff;mask.tiff;-0.14;a;['left'];0.4272718000001987;1;0.717;3.0436400999997204;32
36;S09;A;pre;1;59.9724246790481;[0.013879000000088126, 0.01694339999994554, 0.01645970000026864, 0.016655200000059267];81;1;0.05005830000027345;blank.tiff;mask.tiff;0.14;a;['left'];0.5963965999999346;1;0.903;4.012947300000633;17
37;S09;A;pre;1;59.9724246790481;[0.01533709999966959, 0.017470099999627564, 0.016051700000389246, 0.016596899999967718];42;1;0.05011869999998453;3.tif;mask.tiff;-0.14;left;['right'];0.5636238000006415;1;0.731;3.1975211999997555;20
38;S09;A;pre;1;59.9724246790481;[0.006290100000114762, 0.017291799999838986, 0.016409500000008848, 0.016569499999604886];17;3;0.05027079999945272;2.tif;mask.tiff;0.14;left;['left'];0.2837603999996645;1;0.783;2.934283900000082;51
39;S09;A;pre;1;59.9724246790481;[0.010800799999742594, 0.016206100000090373, 0.016636800000014773, 0.017423000000235334];72;5;0.05026590000034048;2.tif;mask.tiff;-0.14;left;['left'];0.4599861000006058;1;0.89;3.226537200000166;82
40;S09;A;pre;1;59.9724246790481;[0.015842299999349052, 0.016433100000540435, 0.016325099999448867, 0.016965600000730774];46;1;0.049723800000720075;8.tif;mask.tiff;-0.14;right;['right'];0.2642833999998402;1;0.765;2.9307416999999987;24
41;S09;A;pre;1;59.9724246790481;[0.01693169999998645, 0.016276100000141014, 0.016731400000026042, 0.016747799999393465];90;1;0.04975529999956052;blank.tiff;mask.tiff;-0.14;a;['right'];0.3597356000000218;1;1.029;3.2924974999996266;16
42;S09;A;pre;1;59.9724246790481;[0.009415900000021793, 0.017108600000028673, 0.01654340000004595, 0.016406699999606644];36;5;0.050058699999681266;7.tif;mask.tiff;-0.14;right;['right'];2.135893699999542;1;0.794;4.8027697999996235;86
43;S09;A;pre;1;59.9724246790481;[0.004725300000245625, 0.01688170000034006, 0.016773499999544583, 0.01632160000008298];61;3;0.049976799999967625;7.tif;mask.tiff;0.14;right;['left'];0.25744329999997717;1;0.824;2.958064500000546;55
44;S09;A;pre;1;59.9724246790481;[0.005897200000617886, 0.016665199999806646, 0.016766400000051362, 0.01710929999990185];6;1;0.05054089999975986;8.tif;mask.tiff;-0.14;right;['right'];0.30110960000001796;1;1.204;3.3846518000000287;24
45;S09;A;pre;1;59.9724246790481;[0.007268299999850569, 0.016508499999872583, 0.016858500000125787, 0.01693599999998696];18;3;0.05030299999998533;3.tif;mask.tiff;-0.14;left;['left'];0.6870976000000155;1;0.779;3.337324800000715;52
